timestamp,use_reduction,latent_dim,conv_blocks,filters,kernel_size,n_train,n_test,classifier_epochs,classifier_batch_size,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp
2026-06-02T01:20:20,False,,1,[16],3,700,300,12,32,,,1.4288468000013381,0.95,0.9503205128205128,0.899919935948759,0.9387755102040817,0.9583333333333334,0.9484536082474226,147,9,6,138
2026-06-02T01:20:21,False,,1,[16],5,700,300,12,32,,,1.32013270000607,0.9733333333333334,0.9735576923076923,0.9466097170315003,0.9657534246575342,0.9791666666666666,0.9724137931034482,151,5,3,141
2026-06-02T01:20:23,False,,1,[32],3,700,300,12,32,,,1.5301326000044355,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-06-02T01:20:25,False,,1,[32],5,700,300,12,32,,,1.590396799998416,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-06-02T01:20:27,False,,1,[32],3,700,300,12,32,,,1.5350902999998652,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-06-02T01:20:29,False,,1,[32],5,700,300,12,32,,,1.5765604999978677,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-06-02T01:20:31,False,,2,"[32, 64]",3,700,300,12,32,,,1.9821116999955848,0.96,0.9594017094017093,0.9197860962566845,0.9714285714285714,0.9444444444444444,0.9577464788732394,152,4,8,136
2026-06-02T01:20:34,False,,2,"[32, 64]",5,700,300,12,32,,,2.4175992000018596,0.9633333333333334,0.9623397435897436,0.9264115600749264,0.9854014598540146,0.9375,0.9608540925266904,154,2,9,135
2026-06-02T01:20:39,True,2,1,[16],3,700,300,12,32,10,32,1.1777497000002768,0.6166666666666667,0.6164529914529915,0.23271950894048565,0.5986394557823129,0.6111111111111112,0.6048109965635738,97,59,56,88
2026-06-02T01:20:41,True,2,1,[16],5,700,300,12,32,10,32,1.1787105000039446,0.63,0.6207264957264957,0.24571894536558847,0.7088607594936709,0.3888888888888889,0.5022421524663677,133,23,88,56
2026-06-02T01:20:42,True,2,1,[32],3,700,300,12,32,10,32,1.1787498999983654,0.6333333333333333,0.6279380341880342,0.25836030204962246,0.6574074074074074,0.4930555555555556,0.5634920634920635,119,37,73,71
2026-06-02T01:20:44,True,2,1,[32],5,700,300,12,32,10,32,1.1731782000060775,0.57,0.5723824786324786,0.14388107247146276,0.5449101796407185,0.6319444444444444,0.5852090032154341,80,76,53,91
2026-06-02T01:20:45,True,2,1,[32],3,700,300,12,32,10,32,1.171241399999417,0.6333333333333333,0.6279380341880342,0.25836030204962246,0.6574074074074074,0.4930555555555556,0.5634920634920635,119,37,73,71
2026-06-02T01:20:47,True,2,1,[32],5,700,300,12,32,10,32,1.1681756999969366,0.57,0.5723824786324786,0.14388107247146276,0.5449101796407185,0.6319444444444444,0.5852090032154341,80,76,53,91
2026-06-02T01:20:49,True,2,2,"[32, 64]",3,700,300,12,32,10,32,1.4161868999945,0.62,0.6292735042735043,0.25353588266107907,0.5688073394495413,0.8611111111111112,0.6850828729281768,62,94,20,124
2026-06-02T01:20:51,True,2,2,"[32, 64]",5,700,300,12,32,10,32,1.49574389999907,0.6066666666666667,0.5969551282051282,0.19749727965179542,0.6710526315789473,0.3541666666666667,0.4636363636363636,131,25,93,51
2026-06-02T01:20:56,True,4,1,[16],3,700,300,12,32,10,32,1.1829298000011477,0.6133333333333333,0.6132478632478633,0.22625400213447167,0.5945945945945946,0.6111111111111112,0.6027397260273972,96,60,56,88
2026-06-02T01:20:58,True,4,1,[16],5,700,300,12,32,10,32,1.1763424000018858,0.61,0.610309829059829,0.22020794454812043,0.5894039735099338,0.6180555555555556,0.6033898305084746,94,62,55,89
2026-06-02T01:20:59,True,4,1,[32],3,700,300,12,32,10,32,1.1778098000067985,0.6333333333333333,0.6370192307692307,0.2717161016949152,0.5965909090909091,0.7291666666666666,0.65625,85,71,39,105
2026-06-02T01:21:01,True,4,1,[32],5,700,300,12,32,10,32,1.1814741999987746,0.6133333333333333,0.6172542735042735,0.23239809422975122,0.5786516853932584,0.7152777777777778,0.639751552795031,81,75,41,103
2026-06-02T01:21:02,True,4,1,[32],3,700,300,12,32,10,32,1.1842639000024064,0.6333333333333333,0.6370192307692307,0.2717161016949152,0.5965909090909091,0.7291666666666666,0.65625,85,71,39,105
2026-06-02T01:21:04,True,4,1,[32],5,700,300,12,32,10,32,1.1771940000035102,0.6133333333333333,0.6172542735042735,0.23239809422975122,0.5786516853932584,0.7152777777777778,0.639751552795031,81,75,41,103
2026-06-02T01:21:06,True,4,2,"[32, 64]",3,700,300,12,32,10,32,1.4205258000001777,0.59,0.5974893162393162,0.1918528252299605,0.551219512195122,0.7847222222222222,0.6475644699140402,64,92,31,113
2026-06-02T01:21:08,True,4,2,"[32, 64]",5,700,300,12,32,10,32,1.5164819999990868,0.5966666666666667,0.6030982905982906,0.20331840927047662,0.5583756345177665,0.7638888888888888,0.6451612903225806,69,87,34,110
2026-06-02T01:21:13,True,8,1,[16],3,700,300,12,32,10,32,1.1649382999967202,0.74,0.7427884615384616,0.48248407643312097,0.6964285714285714,0.8125,0.75,105,51,27,117
2026-06-02T01:21:15,True,8,1,[16],5,700,300,12,32,10,32,1.1768615999972099,0.7566666666666667,0.7612179487179487,0.5173234594022745,0.6961325966850829,0.875,0.7753846153846153,101,55,18,126
2026-06-02T01:21:16,True,8,1,[32],3,700,300,12,32,10,32,1.1794407999987016,0.77,0.7759081196581197,0.5449749406489053,0.6963350785340314,0.9236111111111112,0.7940298507462686,98,58,11,133
2026-06-02T01:21:18,True,8,1,[32],5,700,300,12,32,10,32,1.203921200001787,0.75,0.7529380341880342,0.5025205624834173,0.7041420118343196,0.8263888888888888,0.7603833865814696,106,50,25,119
2026-06-02T01:21:20,True,8,1,[32],3,700,300,12,32,10,32,1.169207600003574,0.77,0.7759081196581197,0.5449749406489053,0.6963350785340314,0.9236111111111112,0.7940298507462686,98,58,11,133
2026-06-02T01:21:21,True,8,1,[32],5,700,300,12,32,10,32,1.1705883999966318,0.75,0.7529380341880342,0.5025205624834173,0.7041420118343196,0.8263888888888888,0.7603833865814696,106,50,25,119
2026-06-02T01:21:23,True,8,2,"[32, 64]",3,700,300,12,32,10,32,1.4283218999989913,0.7666666666666667,0.7681623931623931,0.5343267695582756,0.7341772151898734,0.8055555555555556,0.7682119205298014,114,42,28,116
2026-06-02T01:21:25,True,8,2,"[32, 64]",5,700,300,12,32,10,32,1.531513800000539,0.76,0.7625534188034188,0.5220392989909718,0.7168674698795181,0.8263888888888888,0.7677419354838709,109,47,25,119
2026-06-02T01:23:09,False,,1,[16],3,700,300,12,32,,,1.5019593000033638,0.95,0.9503205128205128,0.899919935948759,0.9387755102040817,0.9583333333333334,0.9484536082474226,147,9,6,138
2026-06-02T01:23:11,False,,1,[16],5,700,300,12,32,,,1.3489059999992605,0.9733333333333334,0.9735576923076923,0.9466097170315003,0.9657534246575342,0.9791666666666666,0.9724137931034482,151,5,3,141
2026-06-02T01:23:13,False,,1,[32],3,700,300,12,32,,,1.5002263999995193,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-06-02T01:23:15,False,,1,[32],5,700,300,12,32,,,1.5289604999998119,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-06-02T01:23:16,False,,1,[32],3,700,300,12,32,,,1.501784799998859,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-06-02T01:23:18,False,,1,[32],5,700,300,12,32,,,1.5334594000014476,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-06-02T01:23:21,False,,2,"[32, 64]",3,700,300,12,32,,,1.9713441999992938,0.96,0.9594017094017093,0.9197860962566845,0.9714285714285714,0.9444444444444444,0.9577464788732394,152,4,8,136
2026-06-02T01:23:24,False,,2,"[32, 64]",5,700,300,12,32,,,2.576384300002246,0.9633333333333334,0.9623397435897436,0.9264115600749264,0.9854014598540146,0.9375,0.9608540925266904,154,2,9,135
2026-06-02T01:23:29,True,2,1,[16],3,700,300,12,32,10,32,1.18561469999986,0.6166666666666667,0.6164529914529915,0.23271950894048565,0.5986394557823129,0.6111111111111112,0.6048109965635738,97,59,56,88
2026-06-02T01:23:30,True,2,1,[16],5,700,300,12,32,10,32,1.1774347000027774,0.63,0.6207264957264957,0.24571894536558847,0.7088607594936709,0.3888888888888889,0.5022421524663677,133,23,88,56
2026-06-02T01:23:32,True,2,1,[32],3,700,300,12,32,10,32,1.1838719999941532,0.6333333333333333,0.6279380341880342,0.25836030204962246,0.6574074074074074,0.4930555555555556,0.5634920634920635,119,37,73,71
2026-06-02T01:23:34,True,2,1,[32],5,700,300,12,32,10,32,1.1717888000057428,0.57,0.5723824786324786,0.14388107247146276,0.5449101796407185,0.6319444444444444,0.5852090032154341,80,76,53,91
