timestamp,use_reduction,latent_channels,conv_blocks,filters,kernel_size,n_train,n_test,classifier_epochs,classifier_batch_size,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp
2026-04-25T14:14:48,False,,1,[16],3,700,300,12,32,,,1.53000540000005,0.95,0.9503205128205128,0.899919935948759,0.9387755102040817,0.9583333333333334,0.9484536082474226,147,9,6,138
2026-04-25T14:14:49,False,,1,[16],5,700,300,12,32,,,1.3202845000000707,0.9733333333333334,0.9735576923076923,0.9466097170315003,0.9657534246575342,0.9791666666666666,0.9724137931034482,151,5,3,141
2026-04-25T14:14:51,False,,1,[32],3,700,300,12,32,,,1.4435310000000072,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-04-25T14:14:53,False,,1,[32],5,700,300,12,32,,,1.4888650000000325,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-04-25T14:14:55,False,,1,[32],3,700,300,12,32,,,1.4628301999999849,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-04-25T14:14:57,False,,1,[32],5,700,300,12,32,,,1.492881900000043,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-04-25T14:14:59,False,,2,"[32, 64]",3,700,300,12,32,,,1.9471611000000166,0.96,0.9594017094017093,0.9197860962566845,0.9714285714285714,0.9444444444444444,0.9577464788732394,152,4,8,136
2026-04-25T14:15:02,False,,2,"[32, 64]",5,700,300,12,32,,,2.3500731000000314,0.9633333333333334,0.9623397435897436,0.9264115600749264,0.9854014598540146,0.9375,0.9608540925266904,154,2,9,135
2026-04-25T14:15:05,True,2,1,[16],3,700,300,12,32,10,32,1.172960400000079,0.8633333333333333,0.8621794871794872,0.7257158148247257,0.8759124087591241,0.8333333333333334,0.8540925266903915,139,17,24,120
2026-04-25T14:15:07,True,2,1,[16],5,700,300,12,32,10,32,1.1717275999999401,0.9033333333333333,0.9027777777777777,0.8062015503875969,0.9078014184397163,0.8888888888888888,0.8982456140350877,143,13,16,128
2026-04-25T14:15:09,True,2,1,[32],3,700,300,12,32,10,32,1.173539900000037,0.8833333333333333,0.8827457264957266,0.7661053194333066,0.8865248226950354,0.8680555555555556,0.8771929824561403,140,16,19,125
2026-04-25T14:15:10,True,2,1,[32],5,700,300,12,32,10,32,1.193202900000074,0.92,0.9190705128205128,0.8394863563402889,0.9347826086956522,0.8958333333333334,0.9148936170212766,147,9,15,129
2026-04-25T14:15:12,True,2,1,[32],3,700,300,12,32,10,32,1.1682881000000407,0.8833333333333333,0.8827457264957266,0.7661053194333066,0.8865248226950354,0.8680555555555556,0.8771929824561403,140,16,19,125
2026-04-25T14:15:13,True,2,1,[32],5,700,300,12,32,10,32,1.1974759999999378,0.92,0.9190705128205128,0.8394863563402889,0.9347826086956522,0.8958333333333334,0.9148936170212766,147,9,15,129
2026-04-25T14:15:15,True,2,2,"[32, 64]",3,700,300,12,32,10,32,1.3884557999999743,0.91,0.9094551282051282,0.8195669607056937,0.9148936170212766,0.8958333333333334,0.9052631578947369,144,12,15,129
2026-04-25T14:15:17,True,2,2,"[32, 64]",5,700,300,12,32,10,32,1.523140900000044,0.9166666666666666,0.9150641025641026,0.8325743369943746,0.9473684210526315,0.875,0.9097472924187726,149,7,18,126
2026-04-25T14:15:21,True,4,1,[16],3,700,300,12,32,10,32,1.1526188999999931,0.8933333333333333,0.8918269230769231,0.7857525441885378,0.917910447761194,0.8541666666666666,0.8848920863309353,145,11,21,123
2026-04-25T14:15:23,True,4,1,[16],5,700,300,12,32,10,32,1.1898029000000179,0.9166666666666666,0.9166666666666666,0.8331108144192256,0.9103448275862069,0.9166666666666666,0.9134948096885813,143,13,12,132
2026-04-25T14:15:24,True,4,1,[32],3,700,300,12,32,10,32,1.1895786000000044,0.9166666666666666,0.9161324786324787,0.8329323710237904,0.9219858156028369,0.9027777777777778,0.9122807017543859,145,11,14,130
2026-04-25T14:15:26,True,4,1,[32],5,700,300,12,32,10,32,1.2402920000000677,0.94,0.9391025641025641,0.8796147672552167,0.9565217391304348,0.9166666666666666,0.9361702127659575,150,6,12,132
2026-04-25T14:15:29,True,4,1,[32],3,700,300,12,32,10,32,2.2583069000000933,0.9166666666666666,0.9161324786324787,0.8329323710237904,0.9219858156028369,0.9027777777777778,0.9122807017543859,145,11,14,130
2026-04-25T14:15:31,True,4,1,[32],5,700,300,12,32,10,32,1.8274238000000196,0.94,0.9391025641025641,0.8796147672552167,0.9565217391304348,0.9166666666666666,0.9361702127659575,150,6,12,132
2026-04-25T14:15:33,True,4,2,"[32, 64]",3,700,300,12,32,10,32,1.5469112999999197,0.9333333333333333,0.9345619658119658,0.8668087373468301,0.9025974025974026,0.9652777777777778,0.9328859060402684,141,15,5,139
2026-04-25T14:15:36,True,4,2,"[32, 64]",5,700,300,12,32,10,32,2.463895999999977,0.9366666666666666,0.9361645299145299,0.8730286019780807,0.9432624113475178,0.9236111111111112,0.9333333333333333,148,8,11,133
2026-04-25T14:15:42,True,8,1,[16],3,700,300,12,32,10,32,1.7277661000000535,0.8766666666666667,0.8760683760683761,0.7527399091152098,0.8794326241134752,0.8611111111111112,0.8701754385964913,139,17,20,124
2026-04-25T14:15:44,True,8,1,[16],5,700,300,12,32,10,32,1.6914002000000892,0.91,0.9086538461538461,0.8192771084337349,0.9333333333333333,0.875,0.9032258064516129,147,9,18,126
2026-04-25T14:15:46,True,8,1,[32],3,700,300,12,32,10,32,1.4407457999999451,0.9266666666666666,0.9262820512820513,0.8530197755211117,0.9295774647887324,0.9166666666666666,0.9230769230769231,146,10,12,132
2026-04-25T14:15:48,True,8,1,[32],5,700,300,12,32,10,32,1.2944735999999466,0.9233333333333333,0.922809829059829,0.8462977813418872,0.9290780141843972,0.9097222222222222,0.9192982456140351,146,10,13,131
2026-04-25T14:15:50,True,8,1,[32],3,700,300,12,32,10,32,1.2055516000000353,0.9266666666666666,0.9262820512820513,0.8530197755211117,0.9295774647887324,0.9166666666666666,0.9230769230769231,146,10,12,132
2026-04-25T14:15:52,True,8,1,[32],5,700,300,12,32,10,32,1.1999673999999914,0.9233333333333333,0.922809829059829,0.8462977813418872,0.9290780141843972,0.9097222222222222,0.9192982456140351,146,10,13,131
2026-04-25T14:15:53,True,8,2,"[32, 64]",3,700,300,12,32,10,32,1.4019757999999456,0.92,0.9196047008547008,0.8396579369321219,0.9225352112676056,0.9097222222222222,0.916083916083916,145,11,13,131
2026-04-25T14:15:56,True,8,2,"[32, 64]",5,700,300,12,32,10,32,1.5425030999999763,0.9433333333333334,0.9420405982905983,0.8862115127175368,0.9703703703703703,0.9097222222222222,0.9390681003584229,152,4,13,131
2026-04-28T11:38:43,False,,1,[16],3,700,300,12,32,,,1.5528486000002886,0.95,0.9503205128205128,0.899919935948759,0.9387755102040817,0.9583333333333334,0.9484536082474226,147,9,6,138
2026-04-28T11:38:45,False,,1,[16],5,700,300,12,32,,,1.3275298999997176,0.9733333333333334,0.9735576923076923,0.9466097170315003,0.9657534246575342,0.9791666666666666,0.9724137931034482,151,5,3,141
2026-04-28T11:38:47,False,,1,[32],3,700,300,12,32,,,1.4740893999996842,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-04-28T11:38:49,False,,1,[32],5,700,300,12,32,,,1.551484900000105,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-04-28T11:38:50,False,,1,[32],3,700,300,12,32,,,1.48390019999988,0.95,0.9495192307692308,0.8997594226142742,0.9574468085106383,0.9375,0.9473684210526315,150,6,9,135
2026-04-28T11:38:52,False,,1,[32],5,700,300,12,32,,,1.592128700000103,0.9666666666666667,0.9663461538461539,0.9331908070550508,0.971830985915493,0.9583333333333334,0.965034965034965,152,4,6,138
2026-04-28T11:38:55,False,,2,"[32, 64]",3,700,300,12,32,,,1.934143600000425,0.96,0.9594017094017093,0.9197860962566845,0.9714285714285714,0.9444444444444444,0.9577464788732394,152,4,8,136
2026-04-28T11:38:57,False,,2,"[32, 64]",5,700,300,12,32,,,2.3905217999999877,0.9633333333333334,0.9623397435897436,0.9264115600749264,0.9854014598540146,0.9375,0.9608540925266904,154,2,9,135
2026-04-28T11:39:01,True,2,1,[16],3,700,300,12,32,10,32,1.148215799999889,0.8633333333333333,0.8621794871794872,0.7257158148247257,0.8759124087591241,0.8333333333333334,0.8540925266903915,139,17,24,120
2026-04-28T11:39:03,True,2,1,[16],5,700,300,12,32,10,32,1.1802088000004005,0.9033333333333333,0.9027777777777777,0.8062015503875969,0.9078014184397163,0.8888888888888888,0.8982456140350877,143,13,16,128
2026-04-28T11:39:04,True,2,1,[32],3,700,300,12,32,10,32,1.1784924999992654,0.8833333333333333,0.8827457264957266,0.7661053194333066,0.8865248226950354,0.8680555555555556,0.8771929824561403,140,16,19,125
2026-04-28T11:39:06,True,2,1,[32],5,700,300,12,32,10,32,1.2237920999996277,0.92,0.9190705128205128,0.8394863563402889,0.9347826086956522,0.8958333333333334,0.9148936170212766,147,9,15,129
2026-04-28T11:39:08,True,2,1,[32],3,700,300,12,32,10,32,1.237382900000739,0.8833333333333333,0.8827457264957266,0.7661053194333066,0.8865248226950354,0.8680555555555556,0.8771929824561403,140,16,19,125
2026-04-28T11:39:09,True,2,1,[32],5,700,300,12,32,10,32,1.2102430999993885,0.92,0.9190705128205128,0.8394863563402889,0.9347826086956522,0.8958333333333334,0.9148936170212766,147,9,15,129
2026-04-28T11:39:11,True,2,2,"[32, 64]",3,700,300,12,32,10,32,1.41132590000052,0.91,0.9094551282051282,0.8195669607056937,0.9148936170212766,0.8958333333333334,0.9052631578947369,144,12,15,129
2026-04-28T11:39:13,True,2,2,"[32, 64]",5,700,300,12,32,10,32,1.581230499999947,0.9166666666666666,0.9150641025641026,0.8325743369943746,0.9473684210526315,0.875,0.9097472924187726,149,7,18,126
2026-04-28T11:39:17,True,4,1,[16],3,700,300,12,32,10,32,1.1793060999998488,0.8933333333333333,0.8918269230769231,0.7857525441885378,0.917910447761194,0.8541666666666666,0.8848920863309353,145,11,21,123
2026-04-28T11:39:19,True,4,1,[16],5,700,300,12,32,10,32,1.2023254000005181,0.9166666666666666,0.9166666666666666,0.8331108144192256,0.9103448275862069,0.9166666666666666,0.9134948096885813,143,13,12,132
2026-04-28T11:39:20,True,4,1,[32],3,700,300,12,32,10,32,1.2057982999995147,0.9166666666666666,0.9161324786324787,0.8329323710237904,0.9219858156028369,0.9027777777777778,0.9122807017543859,145,11,14,130
2026-04-28T11:39:22,True,4,1,[32],5,700,300,12,32,10,32,1.2087572000000364,0.94,0.9391025641025641,0.8796147672552167,0.9565217391304348,0.9166666666666666,0.9361702127659575,150,6,12,132
2026-04-28T11:39:24,True,4,1,[32],3,700,300,12,32,10,32,1.2043007000002035,0.9166666666666666,0.9161324786324787,0.8329323710237904,0.9219858156028369,0.9027777777777778,0.9122807017543859,145,11,14,130
2026-04-28T11:39:25,True,4,1,[32],5,700,300,12,32,10,32,1.2045945999998366,0.94,0.9391025641025641,0.8796147672552167,0.9565217391304348,0.9166666666666666,0.9361702127659575,150,6,12,132
2026-04-28T11:39:27,True,4,2,"[32, 64]",3,700,300,12,32,10,32,1.4068637000000308,0.9333333333333333,0.9345619658119658,0.8668087373468301,0.9025974025974026,0.9652777777777778,0.9328859060402684,141,15,5,139
2026-04-28T11:39:29,True,4,2,"[32, 64]",5,700,300,12,32,10,32,1.5597889999999097,0.9366666666666666,0.9361645299145299,0.8730286019780807,0.9432624113475178,0.9236111111111112,0.9333333333333333,148,8,11,133
2026-04-28T11:39:33,True,8,1,[16],3,700,300,12,32,10,32,1.1937435999998343,0.8766666666666667,0.8760683760683761,0.7527399091152098,0.8794326241134752,0.8611111111111112,0.8701754385964913,139,17,20,124
2026-04-28T11:39:35,True,8,1,[16],5,700,300,12,32,10,32,1.2079862000000503,0.91,0.9086538461538461,0.8192771084337349,0.9333333333333333,0.875,0.9032258064516129,147,9,18,126
2026-04-28T11:39:37,True,8,1,[32],3,700,300,12,32,10,32,1.2157200000001467,0.9266666666666666,0.9262820512820513,0.8530197755211117,0.9295774647887324,0.9166666666666666,0.9230769230769231,146,10,12,132
2026-04-28T11:39:38,True,8,1,[32],5,700,300,12,32,10,32,1.2555356000002575,0.9233333333333333,0.922809829059829,0.8462977813418872,0.9290780141843972,0.9097222222222222,0.9192982456140351,146,10,13,131
2026-04-28T11:39:40,True,8,1,[32],3,700,300,12,32,10,32,1.2099833000002036,0.9266666666666666,0.9262820512820513,0.8530197755211117,0.9295774647887324,0.9166666666666666,0.9230769230769231,146,10,12,132
2026-04-28T11:39:42,True,8,1,[32],5,700,300,12,32,10,32,1.2274419000004855,0.9233333333333333,0.922809829059829,0.8462977813418872,0.9290780141843972,0.9097222222222222,0.9192982456140351,146,10,13,131
2026-04-28T11:39:44,True,8,2,"[32, 64]",3,700,300,12,32,10,32,1.4307466000000204,0.92,0.9196047008547008,0.8396579369321219,0.9225352112676056,0.9097222222222222,0.916083916083916,145,11,13,131
2026-04-28T11:39:46,True,8,2,"[32, 64]",5,700,300,12,32,10,32,1.551792100000057,0.9433333333333334,0.9420405982905983,0.8862115127175368,0.9703703703703703,0.9097222222222222,0.9390681003584229,152,4,13,131
